Course,University,Location,Subject,Link
Communications and Multimedia Engineering (CME),FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4261/
Communications Engineering – Master's Study Programme,RWTH Aachen University,Aachen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3698/
Electrical Engineering (EE),University of Rostock,Rostock,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4594/
Medical Engineering – Branches of Study: Medical Image and Data Processing | Health and Medical Data Analytics & Entrepreneurship | Medical Robotics,FAU Erlangen-Nürnberg,Erlangen,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4407/
Advanced Signal Processing and Communications Engineering MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/
"Applied AI for Digital Production Management, MEng",Deggendorf Institute of Technology,Cham,Industrial Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9024/
Communication Systems and Networks (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4354/
Data Science,University of Potsdam,Potsdam,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5253/
Elite Master of Science in Neuroengineering (MSNE),Technical University of Munich,München,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4670/
Engineering of Hydro-Environmental Extremes (HDE),University of Siegen,Siegen,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9179/
Hybrid Electric Propulsion Technology,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9255/
Information Technology,OWL University of Applied Sciences and Arts,Lemgo,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3632/
Master's in Industrial Informatics,University of Applied Sciences Emden/Leer,Emden,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4775/
Materials Science and Simulation,Ruhr-Universität Bochum,Bochum,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4234/
Mechatronics,University of Siegen,Siegen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3782/
MSc Advanced (Systems) Engineering & Engineering Management,South Westphalia University of Applied Sciences,Soest,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4062/
MSc Advanced Optical Technologies (MAOT),FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4046/
MSc Autonomy Technologies,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8925/
Natural Hazards and Risks in Structural Engineering (NHRE),Bauhaus-Universität Weimar,Weimar,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3612/
Quantum Science,University of Siegen,Siegen,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8336/
"Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography",HafenCity University Hamburg,Hamburg,Surveying,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4254/
MEng Artificial Intelligence for Smart Sensors and Actuators,Deggendorf Institute of Technology,Cham,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7691/
