Course,University,Location,Subject,Link
Digital Engineering,Bauhaus-Universität Weimar,Weimar,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8265/
Information and Communication Technology MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6146/
Information and Communication Systems,Hamburg University of Technology,Hamburg,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3747/
Autonomous Driving,Coburg University of Applied Sciences and Arts,Kronach,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9016/
Master's in Embedded Systems Engineering (ESE),Dortmund University of Applied Sciences and Arts,Dortmund,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4513/
Master Materials Science and Engineering (MSc),FH Münster University of Applied Sciences,Steinfurt,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4873/
Master of Science in Materials Science,Technical University of Darmstadt,Darmstadt,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4808/
Master of Science in Materials Science,Paderborn University,Paderborn,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4526/
Master of Science in Mechatronics,FH Aachen University of Applied Sciences,Aachen,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3697/
Master of Science in Process Engineering,Hamburg University of Applied Sciences,Hamburg,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6243/
Master of Science in Scientific Instrumentation,University of Applied Sciences Jena,Jena,"Physics, Astronomy",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3796/
MSc Photovoltaics Engineering Science,Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6900/
Master of Science in Applied Statistics,Trier University,Trier,"Law, Economics and Social Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4679/
